X,Y,COD.NASC,COD.SIT,INT_NESC,PROT_NASC,CLASS_NASC,COORD_X,COORD_Y,icon_url
-48.8835777439473,-24.6159437057282,,,,,,714258.672,7275928.355,./0.png
-48.8840622465856,-24.6166548537189,,,,,,714208.396,7275850.334,./0.png
-48.8880511907773,-24.6168315770747,,,,,,713804.151,7275836.969,./0.png
-48.8879622725432,-24.6185133485201,,,,,,713810.294,7275650.537,./0.png
-48.8864696281537,-24.6169840339027,,,,,,713964.050,7275817.620,./0.png
-48.8848151542641,-24.6193841051871,,,,,,714127.500,7275549.181,./0.png
-48.88436,-24.61947,,,,,,714173.445,7275538.957,./0.png
-48.8827533333333,-24.6178833333333,,,,,,714338.848,7275712.212,./0.png
-48.8832766666667,-24.6169333333333,,,,,,714287.473,7275818.262,./0.png
-48.8818181907153,-24.6163584446069,,,,,,714436.148,7275879.669,./0.png
-48.881095,-24.6178533333333,,,,,,714506.831,7275712.948,./0.png
-48.87984,-24.6190433333333,,,,,,714631.886,7275579.169,./0.png
-48.8818896242964,-24.6139641740779,,,,,,714433.000,7276145.000,./0.png
-48.8806,-24.6133683333333,,,,,,714564.615,7276208.991,./0.png
-48.879755,-24.6139633333333,,,,,,714649.171,7276141.762,./0.png
-48.8795960374018,-24.6129334731712,,,,,,714667.028,7276255.594,./0.png
-48.8769133333333,-24.6178283333333,,,,,,714930.331,7275709.184,./0.png
-48.8810351557229,-24.6107992293897,,,,,,714524.933,7276494.256,./0.png
-48.8806116666667,-24.6112966666667,,,,,,714566.971,7276438.493,./0.png
-48.880555,-24.6114116666667,,,,,,714572.513,7276425.666,./0.png
-48.8859633333333,-24.6087416666667,,,,,,714029.357,7276729.859,./0.png
-48.8860333333333,-24.6167566666667,,,,,,714008.618,7275842.127,./0.png
-48.88665,-24.6164483333333,,,,,,713946.696,7275877.241,./0.png
-48.886685,-24.6165083333333,,,,,,713943.050,7275870.650,./0.png
-48.7989471790395,-24.5971749526332,,,,,,722862.346,7277872.925,./0.png
-48.7979510174366,-24.5963851859337,,,,,,722964.643,7277958.798,./0.png
-48.7990995866868,-24.5989732523029,,,,,,722843.722,7277673.963,./0.png
-48.798325186199,-24.5993299083703,,,,,,722921.524,7277633.199,./0.png
-48.7958715220484,-24.5981435810495,,,,,,723172.146,7277760.637,./0.png
-48.7952647532356,-24.5988093119283,,,,,,723232.421,7277685.905,./0.png
-48.7967164616537,-24.6033127819487,,,,,,723077.395,7277189.381,./0.png
-48.7949019553032,-24.6011822744986,,,,,,723264.953,7277422.447,./0.png
-48.7945758285913,-24.5986651345765,,,,,,723302.454,7277700.758,./0.png
-48.7948734819682,-24.5999504587342,,,,,,723270.024,7277558.857,./0.png
-48.7936368141176,-24.5994836282332,,,,,,723396.107,7277608.563,./0.png
-48.7937717012284,-24.5983215871327,,,,,,723384.510,7277737.509,./0.png
-48.7935721644113,-24.5976010803583,,,,,,723406.000,7277817.000,./0.png
-48.7935942030281,-24.5972053439652,,,,,,723404.471,7277860.874,./0.png
-48.7934429177418,-24.6012056842313,,,,,,723412.686,7277417.484,./0.png
-48.7931602357063,-24.600907989444,,,,,,723441.846,7277450.002,./0.png
-48.9053218235,-24.6261395374,,,,,,712039.525,7274832.667,./0.png
-48.9118114694261,-24.6237157942361,,,,,,711386.480,7275111.147,./0.png
-48.9041755565822,-24.6217499171859,,,,,,712163.007,7275317.143,./0.png
-48.9104901693792,-24.6211515915521,,,,,,711524.591,7275393.155,./0.png
-48.9096911786529,-24.6219117369532,,,,,,711604.218,7275307.722,./0.png
-48.8664125387505,-24.6164398040471,,,,,,,,./0.png
-48.8667251639333,-24.6161637786683,,,,,,,,./0.png
-48.8665781035674,-24.6159710243592,,,,,,,,./0.png
-48.8668931368665,-24.6158900417153,,,,,,,,./0.png
-48.9030386184017,-24.614530938612,,,,,,,,./0.png
-48.8997333333333,-24.6172966666667,,,,,,,,./0.png
-48.9006933333333,-24.6167683333333,,,,,,,,./0.png
-48.9018896542049,-24.6155896130363,,,,,,,,./0.png
-48.9286312635,-24.6056310727,,,,,,,,./0.png
-48.9270266039,-24.6045741025,,,,,,,,./0.png
-48.9239902691,-24.6079817928,,,,,,,,./0.png
-48.9224987676,-24.6069263364,,,,,,,,./0.png
-48.9322233267629,-24.6132863114367,,,,,,,,./0.png
-48.9276992382,-24.6118274477,,,,,,,,./0.png
-48.9258361912,-24.6104219461,,,,,,,,./0.png
-48.9239390185,-24.6110856855,,,,,,,,./0.png
-48.9216874722,-24.6103646832,,,,,,,,./0.png
-48.9197503355,-24.6134425003,,,,,,,,./0.png
-48.9212418847,-24.6144979867,,,,,,,,./0.png
-48.9238877592,-24.6141895768,,,,,,,,./0.png
-48.9276764978,-24.6132069583,,,,,,,,./0.png
-48.9287795829,-24.6149469325,,,,,,,,./0.png
-48.9298513385976,-24.6149367417128,,,,,,,,./0.png
-48.9182816545,-24.6110074982,,,,,,,,./0.png
-48.8683444946158,-24.6166063697327,,,,,,,,./0.png
-48.868765784174,-24.614515837102,,,,,,,,./0.png
